doc_path,chunk_id,content,model
kb\raw\categories\Car.md,67,"tals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,68,"als
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,69,"ls
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,70,"s
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,71,"- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,72,"- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,73,"2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,74,"2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,75,"021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,76,"21 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,77,"1 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,78,"Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,79,"Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,80,"xpense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,81,"pense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,82,"ense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,83,"nse: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,84,"se: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,85,"e: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
